article_id,carrier,plan_bucket,plan_name,new_amount,mnp_amount,memo
367,skylife,11GB,manual_image_confirmed,75000,190000,2025-09-30 15차 image: SKY 모두 충분 11GB+ 내국인 010신규/MNP
380,sk7,7GB,manual_image_confirmed,80000,90000,2025-10-30 10차 image: LTE 알뜰 7GB+ 내국인 010신규/MNP
380,sk7,11GB,manual_image_confirmed,80000,100000,2025-10-30 10차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
397,ktm,7GB,manual_image_confirmed,70000,100000,2025-12-10 image: M 스페셜 7GB 플러스 내국인 010신규/번호이동 직접 판독
397,ktm,11GB,manual_image_confirmed,70000,110000,2025-12-10 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접 판독
398,ktm,7GB,manual_image_confirmed,70000,100000,2025-12-10 image: M 스페셜 7GB 플러스 내국인 010신규/번호이동 직접 판독
398,ktm,11GB,manual_image_confirmed,70000,110000,2025-12-10 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접 판독
399,ktm,7GB,manual_image_confirmed,70000,100000,2025-12-10 image: M 스페셜 7GB 플러스 내국인 010신규/번호이동 직접 판독
399,ktm,11GB,manual_image_confirmed,70000,110000,2025-12-10 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접 판독
400,ktm,7GB,manual_image_confirmed,70000,100000,2025-12-10 image: M 스페셜 7GB 플러스 내국인 010신규/번호이동 직접 판독
400,ktm,11GB,manual_image_confirmed,70000,110000,2025-12-10 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접 판독
401,ktm,7GB,manual_image_confirmed,70000,100000,2025-12-10 image: M 스페셜 7GB 플러스 내국인 010신규/번호이동 직접 판독
401,ktm,11GB,manual_image_confirmed,70000,110000,2025-12-10 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접 판독
402,ktm,7GB,manual_image_confirmed,70000,100000,2025-12-10 image: M 스페셜 7GB 플러스 내국인 010신규/번호이동 직접 판독
402,ktm,11GB,manual_image_confirmed,70000,110000,2025-12-10 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접 판독
403,ktm,7GB,manual_image_confirmed,70000,100000,2025-12-10 image: M 스페셜 7GB 플러스 내국인 010신규/번호이동 직접 판독
403,ktm,11GB,manual_image_confirmed,70000,110000,2025-12-10 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접 판독
404,ktm,7GB,manual_image_confirmed,70000,100000,2025-12-10 image: M 스페셜 7GB 플러스 내국인 010신규/번호이동 직접 판독
404,ktm,11GB,manual_image_confirmed,70000,110000,2025-12-10 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접 판독
414,umobile,7GB,manual_image_confirmed,55000,121000,2026-01-14 image: LTE 7GB+ / 이동의즐거움 K-패스 7GB+ 내국인 010신규/MNP
414,umobile,11GB,manual_image_confirmed,55000,132000,2026-01-14 image: LTE 스페셜 / 이동의즐거움 K-패스 71GB+ 내국인 010신규/MNP
415,umobile,7GB,manual_image_confirmed,55000,121000,2026-01-14 image: LTE 7GB+ / 이동의즐거움 K-패스 7GB+ 내국인 010신규/MNP
415,umobile,11GB,manual_image_confirmed,55000,132000,2026-01-14 image: LTE 스페셜 / 이동의즐거움 K-패스 71GB+ 내국인 010신규/MNP
416,umobile,7GB,manual_image_confirmed,55000,121000,2026-01-14 image: LTE 7GB+ / 이동의즐거움 K-패스 7GB+ 내국인 010신규/MNP
416,umobile,11GB,manual_image_confirmed,55000,132000,2026-01-14 image: LTE 스페셜 / 이동의즐거움 K-패스 71GB+ 내국인 010신규/MNP
462,ktm,7GB,manual_image_confirmed,105000,90000,2026-04-01 image: M 스페셜 7GB(밀리의서재) 내국인 010신규/번호이동 직접 판독
462,ktm,11GB,manual_image_confirmed,105000,100000,2026-04-01 image: M 프리미엄 11GB(밀리의서재) 내국인 010신규/번호이동 직접 판독
487,umobile,7GB,manual_image_confirmed,55000,98000,2026-06-01 image: LTE (7GB+/통화기본) 약정형1 내국인 010신규/MNP
487,umobile,11GB,manual_image_confirmed,55000,109000,2026-06-01 image: LTE 스페셜 약정형1 내국인 010신규/MNP
487,hello,7GB,manual_image_confirmed,70000,100000,2026-06-01 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
487,hello,11GB,manual_image_confirmed,70000,140000,2026-06-01 image: The 착한 데이터 유심 11GB 내국인 010신규/MNP
487,ktm,7GB,manual_image_confirmed,90000,100000,2026-06-01 image: M 스페셜 7GB(밀리의서재) 내국인 010신규/MNP
487,ktm,11GB,manual_image_confirmed,90000,110000,2026-06-01 image: M 프리미엄 11GB(밀리의서재) 내국인 010신규/MNP
487,skylife,7GB,manual_image_confirmed,50000,100000,2026-06-01 image: SKY 모두 충분 7GB+(밀리의서재) 내국인 010신규/MNP
487,skylife,11GB,manual_image_confirmed,60000,110000,2026-06-01 image: SKY 모두 충분 11GB+(밀리의서재) 내국인 010신규/MNP
487,sk7,7GB,manual_image_confirmed,100000,100000,2026-06-01 image: 글로벌 100 (7GB+/통화맘껏) 내국인 010신규/MNP
487,sk7,11GB,manual_image_confirmed,100000,110000,2026-06-01 image: 글로벌 100 (11GB+/통화맘껏) 내국인 010신규/MNP
489,umobile,7GB,manual_image_confirmed,55000,98000,2026-06-02 image: LTE (7GB+/통화기본) 약정형1 내국인 010신규/MNP
489,umobile,11GB,manual_image_confirmed,55000,109000,2026-06-02 image: LTE 스페셜 약정형1 내국인 010신규/MNP
489,hello,7GB,manual_image_confirmed,70000,100000,2026-06-02 image: DATA 걱정없는 유심 7GB 내국인 010신규/MNP
489,hello,11GB,manual_image_confirmed,70000,140000,2026-06-02 image: The 착한 데이터 유심 11GB 내국인 010신규/MNP
489,ktm,7GB,manual_image_confirmed,90000,100000,2026-06-02 image: M 스페셜 7GB(밀리의서재) 내국인 010신규/MNP
489,ktm,11GB,manual_image_confirmed,90000,110000,2026-06-02 image: M 프리미엄 11GB(밀리의서재) 내국인 010신규/MNP
